,,,,,,
Walmart Receiving DCs for Store Numbers 1258-4869,,,,,,
Store #,Address Line 1,Address Line 2,City,State,Zip Code,Phone Number
4154,Regional Distribution Center 4154,3320 S Arlington Ave,Indianapolis,IN,46203-5715,317-352-1211
4158,Regional Distribution Center,2000 Charleston Regional Pkwy,Charleston,SC,29492-8337,912-677-0276
4170,Regional Distribution Center 4170,4633 Borusan Rd,Baytown,TX,77523-0000,346-801-6277
4300,Ho Admin Dpt 4300,1410 United Dr,Shippensburg,PA,17257-9552,N/A
4300,Phl4n Shippensburg PA FC VS4225 430,1410 United Dr,Shippensburg,PA,17257-9552,N/A
4301,Regional Distribution Center 4301,10480 Marina Dr,Olive Branch,MS,38654-3704,662-932-5588
4313,RDC Sortation Node Mi9 4313,500 Jonesville Rd,Coldwater,MI,49036-9648,517-279-3700
4314,RDC Sortation Node KY9 4314,690 Crenshaw Blvd,Hopkinsville,KY,42240-6824,270-707-5000
4316,RDC Sortation Node Nc9 4316,200 Wal Mart Dr,Shelby,NC,28150-3717,704-487-2531
4807,Sams Club 4807,"13300 John F Kennedy Blvd, Ste 200",Houston,TX,77039-3556,281-249-0396
4867,Regional Distribution Center 4867,2001 Old River Rd,Bloomingdale,GA,31302-0000,678-459-1940
4869,Regional Distribution Center 4869,TBD,Chicago,IL,60601-0000,N/A
,,,,,,
Walmart Receiving DCs for Store Numbers 6003-6995,,,,,,
,,,,,,
Store #,Address Line 1,Address Line 2,City,State,Zip Code,Phone Number
6003,Walmart DC 6003r-regular,3301 E Park And Blass Ave,Searcy,AR,72143-0000,501-268-2411
6003,Walmart DC 6003g-general,3301 E Park And Blass Ave,Searcy,AR,72143-0000,501-268-2411
6003,Walmart DC 6003t-TAB,3301 E Park And Blass Ave,Searcy,AR,72143-0000,501-268-2411
6003,Walmart DC 6003d-DSDC,3301 E Park And Blass Ave,Searcy,AR,72143-0000,501-268-2411
6003,Walmart DC 6003j-jit,3301 E Park And Blass Ave,Searcy,AR,72143-0000,501-268-2411
